n_ap,ratio,C
31.0,0.19821543503631775,0.2
29.0,0.2133016512044672,0.2
26.0,0.23358189288754083,0.2
25.0,0.2461702037237295,0.2
23.0,0.26475558988298464,0.2
21.0,0.2841918701984771,0.2
20.0,0.2975234594653193,0.2
19.0,0.31119675824051923,0.2
20.0,0.30172605303041355,0.2
18.0,0.32507069147146606,0.2
18.0,0.3318973115109302,0.2
18.0,0.3273844127332364,0.2
18.0,0.32768313909111335,0.2
18.0,0.32946916319370784,0.2
17.0,0.34507715711013753,0.2
17.0,0.344936485290509,0.2
17.0,0.35380172945969945,0.2
16.0,0.36793065491277066,0.2
16.0,0.36345870035481465,0.2
16.0,0.36685878321792326,0.2
15.0,0.3839286146146209,0.2
15.0,0.3851432364459457,0.2
15.0,0.3899964490536239,0.2
16.0,0.3751364082189518,0.2
14.0,0.40967778360674234,0.2
14.0,0.4102436250447751,0.2
14.0,0.41433516638122947,0.2
14.0,0.4178726268973893,0.2
13.0,0.4373614264663366,0.2
13.0,0.43826092257340055,0.2
13.0,0.43979439815974064,0.2
13.0,0.44508098292785203,0.2
12.0,0.4685457142351307,0.2
11.0,0.4898632426858981,0.2
11.0,0.4903328242207967,0.2
11.0,0.4909330892717407,0.2
11.0,0.49180836782067183,0.2
11.0,0.4934492820808218,0.2
11.0,0.4965459101040882,0.2
11.0,0.49893079878996105,0.2
9.0,0.5694442387050997,0.2
9.0,0.5700376158521512,0.2
9.0,0.5679379327732914,0.2
9.0,0.568458952362754,0.2
9.0,0.5702059134200246,0.2
9.0,0.5705289482615776,0.2
9.0,0.5684714327509004,0.2
9.0,0.5701410711508238,0.2
9.0,0.5657060531768636,0.2
9.0,0.5755395471812917,0.2
8.0,0.6316226079771275,0.2
8.0,0.6337362934769826,0.2
8.0,0.6359916737483207,0.2
8.0,0.6417405638296946,0.2
8.0,0.6402917282120102,0.2
8.0,0.640087289710761,0.2
8.0,0.6411334334299421,0.2
7.0,0.6912377365319616,0.2
7.0,0.6937494772255508,0.2
7.0,0.6948516040360104,0.2
7.0,0.6941951394342789,0.2
7.0,0.6954334639141808,0.2
7.0,0.6956224886082115,0.2
7.0,0.7012522226913134,0.2
7.0,0.7055546681016134,0.2
6.0,0.7852035089916498,0.2
6.0,0.785000474969831,0.2
6.0,0.7844669017490808,0.2
6.0,0.7836103137388131,0.2
6.0,0.7841531821535673,0.2
6.0,0.7825771508217696,0.2
6.0,0.7817428208399078,0.2
6.0,0.7814865093546521,0.2
6.0,0.7833845851690729,0.2
6.0,0.7838639607128087,0.2
6.0,0.7841311564161657,0.2
6.0,0.7826351451164137,0.2
6.0,0.7846937192520577,0.2
6.0,0.7838281006242591,0.2
6.0,0.7849688190610525,0.2
6.0,0.7834123615998003,0.2
6.0,0.7852554064897586,0.2
6.0,0.7861336185810177,0.2
6.0,0.7852252726327269,0.2
6.0,0.7883705773977502,0.2
6.0,0.7901703096921312,0.2
6.0,0.7903787413920373,0.2
6.0,0.7938102384142316,0.2
6.0,0.7912502988373649,0.2
5.0,0.8536571673378403,0.2
4.0,0.9174475315860717,0.2
4.0,0.9173689345457269,0.2
3.0,0.9496776634277977,0.2
3.0,0.9487593324494471,0.2
3.0,0.9487925824625487,0.2
3.0,0.9490125121251008,0.2
3.0,0.9491868740464201,0.2
3.0,0.9493665742366253,0.2
3.0,0.9495723758943537,0.2
3.0,0.9498286479347061,0.2
3.0,0.9501349563505869,0.2
3.0,0.9503036814948921,0.2
3.0,0.9503834539791522,0.2
3.0,0.9505657123214,0.2
3.0,0.9508767316886919,0.2
4.0,0.9171201519365477,0.2
4.0,0.9178245122025426,0.2
4.0,0.9186699584769904,0.2
4.0,0.9188650652077006,0.2
4.0,0.9184981546371235,0.2
4.0,0.9178740145975617,0.2
4.0,0.9173951919203492,0.2
4.0,0.9161309926941689,0.2
4.0,0.9166079664221433,0.2
4.0,0.9178849572312952,0.2
4.0,0.9174496981031349,0.2
