C,ratio,per
0.01, 0.9187059115582772, 100
0.03, 0.9186829234306061, 100
0.05, 0.9018997419546304, 100
0.07, 0.9175174307644651, 100
0.09, 0.9345785077583378, 100
0.11, 0.9303002416151331, 100
0.13, 0.9265441749951357, 100
0.15, 0.9249336204108609, 100
0.17, 0.9218906687779347, 100
0.19, 0.9199950174686684, 100
0.21, 0.9167181913640015, 100
0.23, 0.9134289497088476, 100
0.25, 0.9099109327869374, 100
0.27, 0.9077198910654909, 100
0.29, 0.9487072697609358, 100
0.31, 0.9485137050848097, 100
0.33, 0.9481358793817881, 100
0.35, 0.9475833835053343, 100
0.37, 0.9468651987934322, 100
0.39, 0.9460431323190261, 100
0.41, 0.9452083738445478, 100
0.43, 0.9446445863472454, 100
0.45, 0.9445304319674009, 100
0.47, 0.9446065764920843, 100
0.49, 0.9444441675023746, 100
0.51, 0.9439287816454246, 100
0.53, 0.9430445662774645, 100
0.55, 0.9417788903441999, 100
0.57, 0.9402504268638275, 100
0.59, 0.9388040384592026, 100
0.63, 0.937077698160408, 100
