n_ap,ratio,C,n_pre_ap
13.0,0.4605011926158199,0.2,10
12.0,0.4737428980418971,0.2,9
11.0,0.4968064944425826,0.2,9
12.0,0.4763292582131555,0.2,9
11.0,0.5014281581045066,0.2,9
11.0,0.5019343150733078,0.2,9
11.0,0.5000341601424639,0.2,9
11.0,0.5061449210753607,0.2,9
11.0,0.5104673543232275,0.2,9
10.0,0.5312840238203833,0.2,8
10.0,0.5318756928723962,0.2,8
10.0,0.5339067513327868,0.2,8
10.0,0.5369860921761751,0.2,8
11.0,0.5121641504320835,0.2,8
11.0,0.5105319398491247,0.2,8
11.0,0.5112202696771805,0.2,8
10.0,0.5427140228169812,0.2,8
10.0,0.5400637982795454,0.2,8
10.0,0.5422331314782634,0.2,8
10.0,0.5457236935703518,0.2,8
9.0,0.5730895630888209,0.2,7
9.0,0.5753120328777288,0.2,7
9.0,0.5761126145106922,0.2,7
