n_ap,ratio,C,n_pre_ap
44.0,0.17809934472251485,0.2,60
38.0,0.20174165578951378,0.2,47
29.0,0.2420095196082994,0.2,32
26.0,0.2642409241957712,0.2,24
24.0,0.2792908210579013,0.2,22
23.0,0.29236508503080144,0.2,20
21.0,0.32140269512119424,0.2,17
20.0,0.3308373199560194,0.2,15
18.0,0.35587836180049154,0.2,14
18.0,0.3628280487753104,0.2,14
17.0,0.37980254392460944,0.2,13
15.0,0.40828181005382475,0.2,12
14.0,0.42348979299519945,0.2,11
14.0,0.4269935331968776,0.2,11
13.0,0.4481275981083258,0.2,10
13.0,0.45299086025509244,0.2,10
12.0,0.4737428980418971,0.2,9
11.0,0.5014281581045066,0.2,9
11.0,0.5061449210753607,0.2,9
10.0,0.5318756928723962,0.2,8
11.0,0.5121641504320835,0.2,8
10.0,0.5427140228169812,0.2,8
10.0,0.5457236935703518,0.2,8
9.0,0.5761126145106922,0.2,7
9.0,0.5808672781502189,0.2,7
9.0,0.5866049738239111,0.2,7
10.0,0.5603765889704703,0.2,7
7.0,0.6909264869173586,0.2,6
6.0,0.751323034949029,0.2,6
6.0,0.7564078263017572,0.2,6
6.0,0.7621020743627153,0.2,6
6.0,0.7681041407896874,0.2,6
7.0,0.7140320134776796,0.2,6
7.0,0.7200561649983654,0.2,6
7.0,0.7263848726163936,0.2,5
6.0,0.7831019470395002,0.2,5
6.0,0.7793157989816297,0.2,5
6.0,0.7844769684917686,0.2,5
6.0,0.7845537716413331,0.2,5
6.0,0.7838793080955879,0.2,5
6.0,0.7888534735720302,0.2,5
6.0,0.7938062506532717,0.2,5
6.0,0.7982203201491355,0.2,5
5.0,0.8559143962648295,0.2,5
4.0,0.9114615637623675,0.2,4
4.0,0.910169411931651,0.2,4
5.0,0.8630304705923182,0.2,4
5.0,0.8636483244827537,0.2,4
4.0,0.9159388220308345,0.2,4
4.0,0.9070121210965993,0.2,4
4.0,0.9110232444282133,0.2,4
4.0,0.9157767122369947,0.2,4
4.0,0.9173332256684288,0.2,4
4.0,0.9187834487894567,0.2,4
4.0,0.9188286395438974,0.2,4
4.0,0.9219179140807104,0.2,4
4.0,0.9224716128001399,0.2,4
4.0,0.9231533225690743,0.2,4
4.0,0.9237015261179317,0.2,4
4.0,0.9240741091390958,0.2,4
4.0,0.9263363506664585,0.2,4
3.0,0.9589804558632576,0.2,3
3.0,0.95888458974928,0.2,3
3.0,0.9592092228903341,0.2,3
3.0,0.9592187314780299,0.2,3
3.0,0.9591447911308573,0.2,3
3.0,0.9596055254032944,0.2,3
3.0,0.9596461989332138,0.2,3
3.0,0.9596769437125767,0.2,3
3.0,0.9599641110420359,0.2,3
3.0,0.9596197352157618,0.2,3
3.0,0.9598797956444849,0.2,3
4.0,0.9296834998832407,0.2,3
4.0,0.9287849127946923,0.2,3
4.0,0.9277759136020487,0.2,3
4.0,0.9313643368080081,0.2,3
3.0,0.9577711070150693,0.2,3
3.0,0.9604126119714156,0.2,3
3.0,0.9603869439532428,0.2,3
4.0,0.9327461138140695,0.2,3
4.0,0.9323965755541708,0.2,3
4.0,0.93195621148844,0.2,3
4.0,0.9320184441188938,0.2,3
4.0,0.9330575638506944,0.2,3
4.0,0.9332129345220889,0.2,3
4.0,0.9330102282419744,0.2,3
4.0,0.9326977168152772,0.2,3
4.0,0.9321456042720576,0.2,3
4.0,0.9322434465601759,0.2,3
4.0,0.9356997723219098,0.2,3
44.0,0.17809934472251485,0.2,60
41.0,0.1886200466078766,0.2,55
40.0,0.19384624276285248,0.2,50
38.0,0.20174165578951378,0.2,47
36.0,0.20774351452802417,0.2,43
34.0,0.21535598363870284,0.2,40
33.0,0.22177245869223722,0.2,38
31.0,0.23155918458086935,0.2,36
29.0,0.23433774968036,0.2,34
29.0,0.2420095196082994,0.2,32
29.0,0.2390873153392924,0.2,30
28.0,0.2488900952809191,0.2,29
26.0,0.2572043452919721,0.2,28
25.0,0.2662064564472127,0.2,27
25.0,0.26309883858644245,0.2,25
26.0,0.2642409241957712,0.2,24
24.0,0.2797717082055333,0.2,24
24.0,0.2812986246535982,0.2,23
24.0,0.2792908210579013,0.2,22
23.0,0.2885955398459376,0.2,21
23.0,0.28872493913730657,0.2,20
23.0,0.29236508503080144,0.2,20
22.0,0.3007827787775388,0.2,19
23.0,0.2957533957895588,0.2,19
22.0,0.3043376795791553,0.2,18
21.0,0.3157786640694986,0.2,18
21.0,0.3158607757297812,0.2,17
21.0,0.32140269512119424,0.2,17
20.0,0.3239749229137305,0.2,16
20.0,0.3315865106210264,0.2,16
20.0,0.3308373199560194,0.2,15
20.0,0.334255368447603,0.2,15
19.0,0.34705605036832454,0.2,15
18.0,0.35587836180049154,0.2,14
18.0,0.35863237955934113,0.2,14
18.0,0.3608393000428572,0.2,14
18.0,0.3628280487753104,0.2,14
17.0,0.371312426013121,0.2,13
17.0,0.3757495543470533,0.2,13
17.0,0.37980254392460944,0.2,13
15.0,0.40330644303439084,0.2,12
15.0,0.4045775894170831,0.2,12
15.0,0.40828181005382475,0.2,12
15.0,0.4095652998738667,0.2,12
15.0,0.4128250050608329,0.2,12
14.0,0.42348979299519945,0.2,11
14.0,0.4211995793747872,0.2,11
14.0,0.4255630252703312,0.2,11
14.0,0.4269935331968776,0.2,11
14.0,0.4319256223326466,0.2,11
13.0,0.44481340839280076,0.2,10
13.0,0.4481275981083258,0.2,10
13.0,0.45066844335553474,0.2,10
13.0,0.45055416073780585,0.2,10
13.0,0.45299086025509244,0.2,10
13.0,0.4580299084513465,0.2,10
