n_ap,ratio,C,n_pre_ap
9.0,0.5138488062468011,0.3,7
9.0,0.5159860945092772,0.3,7
9.0,0.5186912685148578,0.3,7
9.0,0.5207207748562482,0.3,7
9.0,0.5233685675381493,0.3,7
9.0,0.5271657737241168,0.3,7
9.0,0.5254784043714965,0.3,7
8.0,0.5667435630184195,0.3,7
6.0,0.6666491384406861,0.3,6
6.0,0.6630371939618733,0.3,6
6.0,0.6642299035731661,0.3,6
6.0,0.6672541201330793,0.3,6
6.0,0.6704340409018603,0.3,6
6.0,0.6730838101923101,0.3,6
6.0,0.6754036209468532,0.3,6
6.0,0.6752062747661116,0.3,6
6.0,0.6786216462036578,0.3,6
6.0,0.6810438364972103,0.3,6
6.0,0.6822232881993165,0.3,6
6.0,0.6827663695397762,0.3,6
6.0,0.6834975520175246,0.3,6
6.0,0.6850378500463985,0.3,6
6.0,0.6870040340473008,0.3,6
6.0,0.6900188254740909,0.3,6
6.0,0.693534493605294,0.3,6
6.0,0.6958697464488289,0.3,6
6.0,0.6973593410465061,0.3,6
6.0,0.6986245824927824,0.3,6
5.0,0.778580839038596,0.3,5
5.0,0.7782489345571162,0.3,5
5.0,0.7794634070839895,0.3,5
5.0,0.7816044790497029,0.3,5
6.0,0.7005220706342766,0.3,5
6.0,0.7019041660464119,0.3,5
6.0,0.6973190087578889,0.3,5
6.0,0.6998299462699428,0.3,5
6.0,0.7013046677968522,0.3,5
6.0,0.7057520335838106,0.3,5
6.0,0.7029782613663226,0.3,5
6.0,0.7043619153040614,0.3,5
6.0,0.7071997561172186,0.3,5
6.0,0.7079938585964172,0.3,5
6.0,0.7073034640880508,0.3,5
6.0,0.7099834002267127,0.3,5
6.0,0.711224455407789,0.3,5
6.0,0.7115248505592147,0.3,5
6.0,0.711389250453533,0.3,5
6.0,0.7103612266686116,0.3,5
6.0,0.7119359032147118,0.3,5
6.0,0.7125547606846486,0.3,5
6.0,0.7159893379961987,0.3,5
6.0,0.7182163122307799,0.3,5
6.0,0.7199208042022108,0.3,5
6.0,0.7240204401578475,0.3,5
6.0,0.7255548597847935,0.3,5
5.0,0.8006329735441367,0.3,5
5.0,0.8018272123952853,0.3,5
5.0,0.7890572608924397,0.3,5
4.0,0.886516697681717,0.3,4
4.0,0.8865172501102447,0.3,4
4.0,0.8807128590237856,0.3,4
4.0,0.8816014155627138,0.3,4
4.0,0.8824070255966897,0.3,4
4.0,0.8837305330674071,0.3,4
4.0,0.8861441662422374,0.3,4
4.0,0.8850537821647222,0.3,4
4.0,0.8850995260206751,0.3,4
4.0,0.8883281083353138,0.3,4
4.0,0.8896479726673316,0.3,4
