n_ap,ratio,C
7.0,0.8801202999497172,0.05
7.0,0.8799293788139954,0.05
7.0,0.880263048221107,0.05
7.0,0.8804652789307026,0.05
7.0,0.8805044766590389,0.05
7.0,0.880667301185868,0.05
7.0,0.8808452459187162,0.05
7.0,0.8811420038269454,0.05
7.0,0.8811063350312307,0.05
7.0,0.8809876499987316,0.05
7.0,0.8812010910811677,0.05
7.0,0.881582834101538,0.05
7.0,0.8799293788139954,0.05
7.0,0.880263048221107,0.05
7.0,0.8804652789307026,0.05
7.0,0.8805044766590389,0.05
7.0,0.880667301185868,0.05
7.0,0.8808452459187162,0.05
7.0,0.8811420038269454,0.05
7.0,0.8811063350312307,0.05
7.0,0.8809876499987316,0.05
7.0,0.8812010910811677,0.05
7.0,0.881582834101538,0.05
7.0,0.8814673221396984,0.05
7.0,0.8814084077007523,0.05
7.0,0.881469908651185,0.05
7.0,0.8819731331995756,0.05
7.0,0.8821966553361372,0.05
7.0,0.8821920158536749,0.05
7.0,0.8837636720554646,0.05
7.0,0.8837051582563665,0.05
7.0,0.8843525881055678,0.05
6.0,0.9018997419546304,0.05
6.0,0.9029463476382507,0.05
6.0,0.9019499613387238,0.05
6.0,0.9006876546444378,0.05
6.0,0.9012263774685303,0.05
6.0,0.9010432331118057,0.05
6.0,0.9005834192147965,0.05
6.0,0.9005792436344943,0.05
6.0,0.9004452642050667,0.05
6.0,0.9006194037618607,0.05
6.0,0.9006419729444815,0.05
6.0,0.9004078035392599,0.05
6.0,0.9010406963382145,0.05
6.0,0.9009956659356931,0.05
6.0,0.9011592089908615,0.05
6.0,0.9017415288139895,0.05
6.0,0.9019706564268407,0.05
6.0,0.9021231851617943,0.05
6.0,0.9003006464666875,0.05
6.0,0.9023175549504311,0.05
6.0,0.9017568167817511,0.05
6.0,0.9015268028197125,0.05
6.0,0.9009479521409913,0.05
6.0,0.9003279808770449,0.05
6.0,0.8997457606700098,0.05
6.0,0.8998772814031815,0.05
6.0,0.9011216794452638,0.05
6.0,0.9027566067226322,0.05
6.0,0.9035127919240651,0.05
6.0,0.9040812142435447,0.05
6.0,0.904372255716347,0.05
6.0,0.904371383247145,0.05
6.0,0.9045257821090672,0.05
6.0,0.9047917125908305,0.05
6.0,0.9050812428664518,0.05
6.0,0.9043899460020808,0.05
6.0,0.9042817699172342,0.05
6.0,0.9043712530226958,0.05
6.0,0.9046444193941423,0.05
6.0,0.9047783887278157,0.05
6.0,0.9046756073777361,0.05
6.0,0.905049177598451,0.05
6.0,0.9053122357552651,0.05
6.0,0.9057369224603997,0.05
6.0,0.9062485235461031,0.05
6.0,0.9070752654197264,0.05
6.0,0.9079433911450341,0.05
6.0,0.9087377811520164,0.05
6.0,0.9096654775929542,0.05
6.0,0.9072147882682463,0.05
4.0,0.940742362583435,0.05
4.0,0.940742362583435,0.05
4.0,0.9407806266774943,0.05
4.0,0.940816872049673,0.05
4.0,0.9408525126638408,0.05
4.0,0.9408881891387094,0.05
4.0,0.9409235754529715,0.05
4.0,0.9409612573997511,0.05
4.0,0.9410013154936517,0.05
4.0,0.9410455215972078,0.05
4.0,0.9410936233998086,0.05
4.0,0.9411470093633654,0.05
4.0,0.9412059688834327,0.05
4.0,0.9412709956575162,0.05
4.0,0.9413418669365212,0.05
4.0,0.9414184879582738,0.05
4.0,0.9415013956324125,0.05
4.0,0.9415894111363916,0.05
4.0,0.9416813256537565,0.05
4.0,0.941777075357882,0.05
4.0,0.9418750162825016,0.05
4.0,0.9419749172460337,0.05
4.0,0.9420755114533828,0.05
4.0,0.942175695402747,0.05
4.0,0.9422750845243744,0.05
4.0,0.9423728193518691,0.05
4.0,0.9424679142158591,0.05
4.0,0.9425603606198145,0.05
4.0,0.9426499007812777,0.05
4.0,0.9427364907130127,0.05
4.0,0.9428190972307607,0.05
4.0,0.9428989073499834,0.05
4.0,0.9429747680140792,0.05
4.0,0.9430480540453262,0.05
4.0,0.9431180243306039,0.05
4.0,0.9431845080481798,0.05
4.0,0.9432487745257697,0.05
4.0,0.943310057988831,0.05
4.0,0.9433685632803335,0.05
4.0,0.9434247670625856,0.05
4.0,0.9434778290122016,0.05
4.0,0.9435290677643212,0.05
4.0,0.9435776745330995,0.05
4.0,0.9436252020177831,0.05
4.0,0.9436706164944123,0.05
4.0,0.9437158314941072,0.05
4.0,0.9437592851036483,0.05
4.0,0.9428989073499834,0.05
4.0,0.9432487745257697,0.05
4.0,0.9435290677643212,0.05
4.0,0.9437592851036483,0.05
4.0,0.9439729175662503,0.05
4.0,0.9442484428135451,0.05
4.0,0.9446715968248498,0.05
4.0,0.9451951124945,0.05
5.0,0.924546658213717,0.05
5.0,0.9266053959162402,0.05
3.0,0.9409202353796987,0.05
3.0,0.9409202353796987,0.05
